Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
53,Don't Start Now,Dua Lipa,dance pop,2019,124,79,79,-5,10,68,183,1,8,80
54,Love Galore (feat. Travis Scott),SZA,pop,2017,135,59,80,-6,16,41,275,11,7,80
55,The One That Got Away,Katy Perry,pop,2010,134,80,69,-4,16,88,227,0,4,79
56,Sorry Not Sorry,Demi Lovato,pop,2017,144,64,71,-7,26,89,204,2,23,78
57,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,78
58,Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,78
59,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2011,116,94,56,-4,11,68,222,5,5,78
60,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,pop,2017,103,71,66,-4,8,74,175,3,5,78
61,Nights Like This (feat. Ty Dolla $ign),Kehlani,pop,2019,146,73,61,-5,15,29,202,37,15,78
62,California Gurls,Katy Perry,pop,2012,125,75,79,-4,16,43,235,0,6,78
63,Without Me,Halsey,electropop,2018,136,49,75,-7,9,53,202,30,7,78
64,The Weekend,SZA,pop,2017,73,37,40,-9,13,16,272,24,6,78
65,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,dance pop,2017,98,82,70,-4,19,78,216,8,11,78
66,How Long,Charlie Puth,pop,2018,110,56,85,-5,4,81,201,21,8,77
67,Live While We're Young,One Direction,boy band,2012,126,86,66,-2,14,93,200,5,5,77
68,Born This Way,Lady Gaga,art pop,2011,124,83,59,-5,33,49,260,0,16,77
69,Dangerous Woman,Ariana Grande,pop,2016,134,60,66,-5,36,29,236,5,4,77
70,i'm so tired...,Lauv,pop,2020,101,74,55,-8,20,50,163,17,24,77
71,Domino,Jessie J,dance pop,2011,127,56,76,-5,4,78,232,1,3,77
72,Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,106,86,76,-4,13,97,186,2,6,77
73,Last Friday Night (T.G.I.F.),Katy Perry,pop,2012,126,82,65,-4,67,77,231,0,4,77
74,Dancing With A Stranger (with Normani),Sam Smith,pop,2019,103,52,74,-8,22,35,171,45,7,77
75,All I Ask,Adele,british soul,2015,142,28,59,-5,12,35,272,89,3,77
76,"Sit Still, Look Pretty",Daya,pop,2016,91,73,85,-4,43,72,208,29,11,76
77,Please Me,Cardi B,pop,2019,134,57,75,-7,8,65,201,6,8,76
78,Telephone,Lady Gaga,art pop,2009,122,84,82,-6,11,72,221,1,4,76
79,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,76
80,Teenage Dream,Katy Perry,pop,2010,120,80,72,-5,13,59,228,2,4,76
81,Symphony (feat. Zara Larsson),Clean Bandit,pop,2017,123,63,71,-5,14,46,212,26,6,76
82,The Heart Wants What It Wants,Selena Gomez,pop,2014,83,79,62,-5,14,62,227,5,4,76
83,Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017,105,86,70,-5,2,93,217,2,10,76
84,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,194,74,32,-6,11,45,230,3,27,76
85,Run the World (Girls),Beyoncé,pop,2011,127,90,73,-4,37,76,236,0,14,76
86,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,big room,2014,86,73,60,-4,33,53,193,24,15,76
87,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,76
88,Where Have You Been,Rihanna,barbadian pop,2011,128,85,72,-6,22,44,243,0,9,76
89,Bad At Love,Halsey,electropop,2017,118,75,68,-4,9,61,181,6,3,76
90,S&M,Rihanna,barbadian pop,2010,128,68,77,-5,10,83,244,1,4,76
91,One Call Away,Charlie Puth,pop,2016,91,61,67,-5,12,47,194,40,3,76
92,YOUTH,Troye Sivan,australian pop,2015,92,74,63,-4,8,59,185,6,4,75
93,Rewrite The Stars,Zac Efron,hollywood,2017,125,62,68,-7,12,28,217,7,4,75
94,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,75
95,This Feeling,The Chainsmokers,electropop,2018,105,57,57,-8,9,45,198,6,4,75
96,Rise,Jonas Blue,pop,2018,106,79,69,-5,20,66,194,33,3,75
97,Back To You,Selena Gomez,pop,2018,102,68,60,-6,11,49,210,10,5,74
98,So Am I,Ava Max,pop,2020,130,66,68,-5,35,63,183,7,4,74
99,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,dance pop,2015,148,62,38,-7,11,48,209,31,5,74
100,How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,74
101,Maps,Maroon 5,pop,2015,120,71,74,-6,6,88,190,2,3,74
102,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-6,28,59,205,1,4,73
103,If I Can't Have You,Shawn Mendes,canadian pop,2019,124,81,69,-4,15,86,191,52,6,73
104,Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,73
105,Solo (feat. Demi Lovato),Clean Bandit,pop,2018,105,64,74,-5,35,56,223,4,4,73
106,Motivation,Normani,pop,2019,171,89,60,-4,30,88,194,2,10,72
107,Hands To Myself,Selena Gomez,pop,2015,111,50,81,-7,34,47,201,1,12,71
108,Never Really Over,Katy Perry,pop,2019,100,88,77,-5,32,39,224,19,6,71
109,Easier,5 Seconds of Summer,boy band,2020,176,46,56,-4,11,62,158,48,26,70
110,Good For You,Selena Gomez,pop,2015,89,67,61,-6,7,22,221,18,6,70
111,Blank Space,Taylor Swift,pop,2014,96,68,75,-5,13,58,232,9,6,69
112,Hotter Than Hell,Dua Lipa,dance pop,2017,110,87,53,-4,6,53,188,1,9,69
113,2U (feat. Justin Bieber),David Guetta,big room,2017,145,65,55,-6,23,56,195,22,6,69
114,Strip That Down,Liam Payne,pop,2017,106,50,87,-5,8,54,205,22,6,69
115,No Promises (feat. Demi Lovato),Cheat Codes,edm,2017,113,67,74,-5,11,60,224,6,13,68
116,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2016,181,54,31,-10,7,16,176,16,35,68
117,Now Or Never,Halsey,electropop,2017,110,59,67,-5,13,45,215,11,4,68
118,Pound The Alarm,Nicki Minaj,hip pop,2012,125,86,73,-4,2,59,206,4,6,67
119,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,pop,2015,110,62,80,-5,35,82,190,42,6,67
120,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,65
121,Bang Bang,Jessie J,dance pop,2014,150,75,70,-4,40,70,199,28,9,64
122,Mama,Jonas Blue,pop,2017,104,79,74,-4,5,54,184,10,4,63
123,1999,Charli XCX,art pop,2018,124,74,74,-5,23,66,189,2,3,62
124,Tears (feat. Louisa Johnson),Clean Bandit,pop,2016,130,77,61,-4,16,30,226,4,4,60
125,Love On Top,Beyoncé,pop,2011,94,75,65,-5,60,65,267,8,9,55
126,Lay Me Down,Sam Smith,pop,2015,117,30,43,-10,11,15,253,76,4,54
127,Starving,Hailee Steinfeld,pop,2017,100,61,73,-4,10,53,182,37,6,52
